[2025-05-30 20.34.54] [INFO] Application starting.
[2025-05-30 20.34.54] [ERROR] Failed to load font: assets/fonts/ascii_16x16.png
Exception: System.InvalidOperationException: You need to initialize the OpenGL binding first by calling LoadBindings() or creating a compatible OpenGL window.
   at OpenTK.Graphics.BindingsBase.Uninitialized()
   at OpenTK.Graphics.OpenGL4.GL.GenTexture()
   at CoolRetroPowershellTerm.BitmapFont.LoadTexture(String path) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 32
   at CoolRetroPowershellTerm.BitmapFont..ctor(String path, Int32 glyphWidth, Int32 glyphHeight, Int32 gridCols, Int32 gridRows) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 25
   at CoolRetroPowershellTerm.Program.Main(String[] args) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\Program.cs:line 31
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.306
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.307
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.307
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.308
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.308
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.308
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.312
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.313
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.313
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.314
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.315
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.315
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.316
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.316
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.316
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.317
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.317
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.318
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.318
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.319
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.319
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.320
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.320
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.321
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.321
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.322
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.322
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.323
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.323
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.324
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.324
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.325
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.326
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.326
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.327
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.327
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.328
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.328
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.329
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.330
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.330
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.331
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.331
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.332
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.334
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.334
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.335
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.335
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.335
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.336
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.336
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.337
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.337
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.338
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.338
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.338
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.339
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.339
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.340
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.342
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.343
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.343
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.344
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.344
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.345
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.345
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.346
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.346
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.347
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.347
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.348
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.349
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.349
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.350
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.350
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.351
